'ACHInterMediate', 'UniqueID', None, 'NO', 'decimal', None, 19
'ACHInterMediate', 'PaymentInFile', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'TransactionLifeCycleUUID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'XrequestID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'Cancellable', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'LastStatementDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'MergeFlag', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'MrgJobID', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'MergeStatus', None, 'YES', 'varchar', 50, None
'ACHInterMediate', 'MrgPODID', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'PreMrgReturnTranID', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'IsReturn', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'NotificationSent', None, 'YES', 'int', None, 10
'ACHInterMediate', 'ACHProcessSkip', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'GPPTraceNumber', None, 'YES', 'varchar', 30, None
'ACHInterMediate', 'CancelledBy', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'BusinessID', None, 'YES', 'varchar', 71, None
'ACHInterMediate', 'BHubPIIIndicator', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'FundingSourceUUID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'IndividualNameLength', None, 'YES', 'int', None, 10
'ACHInterMediate', 'PIITookTime', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'AlertFlag', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'RowCreatedDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'RowChangedDate', None, 'YES', 'datetime', None, None
'ACHPIIData', 'UniqueID', None, 'NO', 'decimal', None, 19
'ACHPIIData', 'acctId', None, 'YES', 'int', None, 10
'ACHPIIData', 'TransmissionTime', None, 'YES', 'datetime', None, None
'ACHPIIData', 'FirstNameEncy', None, 'YES', 'varbinary', 100, None
'ACHPIIData', 'LastNameEncy', None, 'YES', 'varbinary', 100, None
'ACHPIIData', 'PIIIndicator', None, 'YES', 'int', None, 10
'ACHPIIData', 'ACHErrorReason', None, 'YES', 'varchar', 200, None
'ACHPIIData', 'ClientId', None, 'YES', 'varchar', 50, None
'ACHPIIData', 'PIIRequestId', None, 'YES', 'decimal', None, 19
'ACHPIIData', 'ACHPaymentDate', None, 'YES', 'datetime', None, None
'ACHPIIData', 'InstitutionID', None, 'YES', 'int', None, 10
'ACHPIIData', 'IPAddress', None, 'YES', 'varchar', 200, None
'ACHPIIData', 'Retries', None, 'YES', 'tinyint', None, 3
'ACHPIIJSONRequest', 'PIIRequestId', None, 'NO', 'decimal', None, 19
'ACHPIIJSONRequest', 'RowId', '((1))', 'YES', 'int', None, 10
'ACHPIIJSONRequest', 'PIIHubRequest', None, 'YES', 'nvarchar', -1, None
'ACHPIIJSONRequest', 'Skey', None, 'NO', 'decimal', None, 19
'ACHPIIJSONRequest', 'PIIRequestSend', '((0))', 'YES', 'tinyint', None, 3
'ACHPIIJSONRequest', 'InstitutionID', None, 'YES', 'int', None, 10
'ACHPIIJSONRequest', 'PersonIdCount', None, 'YES', 'int', None, 10
'ACHPIIJSONRequest', 'DateTimeStamp', None, 'YES', 'datetime', None, None
'ACHPIIJSONRequest', 'ErrorMessage', None, 'YES', 'varchar', 255, None
'ACHPIIJSONResponse', 'PIIRequestId', None, 'YES', 'decimal', None, 19
'ACHPIIJSONResponse', 'RowId', '((1))', 'YES', 'int', None, 10
'ACHPIIJSONResponse', 'PIIHubResponse', None, 'YES', 'nvarchar', -1, None
'ACHPIIJSONResponse', 'Skey', None, 'NO', 'decimal', None, 19
'ACHPIIJSONResponse', 'ResponseUpdate', '((0))', 'YES', 'tinyint', None, 3
'ACHPIIJSONResponse', 'InstitutionID', None, 'YES', 'int', None, 10
'ACHPIIJSONResponse', 'APITookTime', None, 'YES', 'real', None, 24
'ACHPIIJSONResponse', 'ResponseTime', None, 'YES', 'real', None, 24
'ACHPIIJSONResponse', 'ErrorMessage', None, 'YES', 'varchar', 255, None
'ACHPIIJSONResponse', 'DateTimeStamp', None, 'YES', 'datetime', None, None
'ACHPIIJSONResponse', 'IPAddress', None, 'YES', 'varchar', 200, None
'ACHPIIJSONResponse', 'RequestDate', None, 'YES', 'datetime', None, None
'ACHPIIJSONResponse', 'ResponseDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'Skey', None, 'NO', 'decimal', None, 19
'AlertNotificationLog_Processed', 'ModSkey', None, 'NO', 'decimal', None, 19
'AlertNotificationLog_Processed', 'RequestId', None, 'NO', 'decimal', None, 19
'AlertNotificationLog_Processed', 'EmbAcctId', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'BSacctid', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'SendDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'SentFlag', None, 'YES', 'varchar', 1, None
'AlertNotificationLog_Processed', 'Mode', None, 'YES', 'varchar', 5, None
'AlertNotificationLog_Processed', 'MessageCategory', None, 'YES', 'varchar', 5, None
'AlertNotificationLog_Processed', 'AccountNumber', None, 'YES', 'char', 19, None
'AlertNotificationLog_Processed', 'Tab', None, 'YES', 'varchar', 10, None
'AlertNotificationLog_Processed', 'Category', None, 'YES', 'varchar', 70, None
'AlertNotificationLog_Processed', 'SubCategory', None, 'YES', 'varchar', 70, None
'AlertNotificationLog_Processed', 'TemplateID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'PMGStatusID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'PMGPeriodID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'PMGMonetaryID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'PMGSecurityID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'PMGCardsID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'CustFName', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CustLName', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'status', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'Xmonths', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'CurrentBalance', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'StatementMonth', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'XAmount', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'LoyaltyPointsExpirationDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'LoyaltyPoints', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'PaymentDueDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'CardNumber_Last4Digits', None, 'YES', 'varchar', 4, None
'AlertNotificationLog_Processed', 'InFavorOf', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'ReasonCode', None, 'YES', 'varchar', 10, None
'AlertNotificationLog_Processed', 'ReasonDescription', None, 'YES', 'varchar', 80, None
'AlertNotificationLog_Processed', 'PaymentScheduleType', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'PaymentScheduleDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'OldCreditLimit', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'NewCreditLimit', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'AvailableCreditLimit', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'BankName', None, 'YES', 'varchar', 255, None
'AlertNotificationLog_Processed', 'PrimaryCurrencyCode', None, 'YES', 'char', 25, None
'AlertNotificationLog_Processed', 'ScheduleID', None, 'YES', 'decimal', None, 19
'AlertNotificationLog_Processed', 'MerchantID', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'CustMiddleInitial', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CustAddressLine1', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'CustCity', None, 'YES', 'varchar', 40, None
'AlertNotificationLog_Processed', 'CustAddressLine2', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CustState', None, 'YES', 'varchar', 5, None
'AlertNotificationLog_Processed', 'CustZipCode', None, 'YES', 'char', 10, None
'AlertNotificationLog_Processed', 'CustHomePhone', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'CaseNumber', None, 'YES', 'decimal', None, 19
'AlertNotificationLog_Processed', 'ManualStatus', None, 'YES', 'char', 250, None
'AlertNotificationLog_Processed', 'GeneratedStatus', None, 'YES', 'char', 250, None
'AlertNotificationLog_Processed', 'AmountDue', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'DBANameCo', None, 'YES', 'char', 40, None
'AlertNotificationLog_Processed', 'LetterQueueName', None, 'YES', 'char', 30, None
'AlertNotificationLog_Processed', 'PaymentScheduleFrequency', None, 'YES', 'varchar', 30, None
'AlertNotificationLog_Processed', 'L4DCheckNumber', None, 'YES', 'varchar', 16, None
'AlertNotificationLog_Processed', 'LifeCycleID', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'AuthTranID', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'POSCardPresenceInd', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CardAcceptorNameLoc', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'ResponseCode', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CrossBorderIndicator', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'TranID', None, 'YES', 'decimal', None, 19
'AlertNotificationLog_Processed', 'AuthStatus', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'BaseCommerceErrorMessages', None, 'YES', 'varchar', 200, None
'AlertNotificationLog_Processed', 'AuthAmount', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'AmountCurrConvAssessment', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'InterchangeFee', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'LocalTransactionDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'localPrimaryCurrencyCode', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'CardExpiryMonthAndYear', None, 'YES', 'varchar', 30, None
'AlertNotificationLog_Processed', 'CardSequenceNumber', None, 'YES', 'varchar', 3, None
'AlertNotificationLog_Processed', 'OldEmbAcctid', None, 'YES', 'varchar', 16, None
'AlertNotificationLog_Processed', 'RedemptionTranID', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionClientID', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'RedemptionCurrency', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionMethod', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionStatus', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionPostTime', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'RedemptionType', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionAmount', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'RedemptionErrorCode', None, 'YES', 'varchar', 200, None
'AlertNotificationLog_Processed', 'Attempts', None, 'YES', 'varchar', 1, None
'AlertNotificationLog_Processed', 'Success', None, 'YES', 'varchar', 10, None
'AlertNotificationLog_Processed', 'ErrorCode', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'ErrorMessage', None, 'YES', 'varchar', 200, None
'AlertNotificationLog_Processed', 'RequestStartDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'ResponseDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'ErrorneousAttempts', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'RequestType', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'TimeTaken', None, 'YES', 'real', None, 24
'AlertNotificationLog_Processed', 'BankAccountLast4Digit', None, 'YES', 'varchar', 4, None
'AlertNotificationLog_Processed', 'ServiceUser', None, 'YES', 'varchar', 120, None
'AlertNotificationLog_Processed', 'AccountGraceFlag', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'Overdueflag', None, 'YES', 'varchar', 3, None
'AlertNotificationLog_Processed', 'GraceFlagChangeDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'UCReferenceTransactionId', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'GenericRedem', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'CancellationReason', None, 'YES', 'varchar', 100, None
'AlertNotificationLog_Processed', 'UnPaidInterest', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'TimeStamp', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'AccountUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'CardUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'TransactionUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'LoyaltyTransactionUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'ObjectUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'SentFlag2', None, 'YES', 'varchar', 1, None
'AlertNotificationLog_Processed', 'TimeTaken2', None, 'YES', 'real', None, 24
'AlertNotificationLog_Processed', 'Success2', None, 'YES', 'varchar', 10, None
'AlertNotificationLog_Processed', 'ErrorCode2', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'ErrorMessage2', None, 'YES', 'varchar', 200, None
'AlertNotificationLog_Processed', 'ProcessName', None, 'YES', 'varchar', 30, None
'AlertNotificationLog_Processed', 'RequestUniversalUniqueID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'CalculatedRewardPoints', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'ClientId', None, 'YES', 'varchar', 50, None
'AlertNotificationLog_Processed', 'AlertResent', None, 'YES', 'tinyint', None, 3
'AlertNotificationLog_Processed', 'PaymentProcessDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'NextSchedulePaymentdate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'XRequestID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'InsertProcessName', None, 'YES', 'varchar', 30, None
'AlertNotificationLog_Processed', 'TransactionSource', None, 'YES', 'varchar', 20, None
'AlertNotificationLog_Processed', 'CustomerUID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'XRequestIDNew', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'MergeActivityFlag', None, 'YES', 'tinyint', None, 3
'AlertNotificationLog_Processed', 'SourceClientID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'DestinationClientID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'SourceAccountID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'DestinationAccountID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'RequestorID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'ReageStatus', None, 'YES', 'varchar', 10, None
'AlertNotificationLog_Processed', 'ReageStartDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'ReageEndDate', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'ReageMethod', None, 'YES', 'varchar', 25, None
'AlertNotificationLog_Processed', 'ReagePaymentAmt', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'AmountOfPaymentsCTD_InCycle', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'EffectiveDateTime', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'TransactionLifeCycleUUID', None, 'YES', 'varchar', 64, None
'AlertNotificationLog_Processed', 'FieldNameDate1', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueDate1', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'FieldNameDate2', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueDate2', None, 'YES', 'datetime', None, None
'AlertNotificationLog_Processed', 'FieldNameCurrency1', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueCurrency1', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'FieldNameCurrency2', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueCurrency2', None, 'YES', 'money', None, 19
'AlertNotificationLog_Processed', 'FieldNameString1', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueString1', None, 'YES', 'varchar', 65, None
'AlertNotificationLog_Processed', 'FieldNameString2', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueString2', None, 'YES', 'varchar', 65, None
'AlertNotificationLog_Processed', 'FieldNameInt1', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueInt1', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'FieldNameInt2', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueInt2', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'FieldNameInt3', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueInt3', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'FieldNameInt4', None, 'YES', 'varchar', 60, None
'AlertNotificationLog_Processed', 'FieldValueInt4', None, 'YES', 'int', None, 10
'AlertNotificationLog_Processed', 'RowCreatedDate', '(getdate())', 'YES', 'datetime', None, None
'AuditLog', 'IdentityField', None, 'NO', 'int', None, 10
'AuditLog', 'LogTime', None, 'NO', 'datetime', None, None
'AuditLog', 'LogHost', None, 'YES', 'varchar', 50, None
'AuditLog', 'LogApp', None, 'YES', 'varchar', 50, None
'AuditLog', 'LogUser', None, 'NO', 'varchar', 50, None
'AuditLog', 'LogString', None, 'NO', 'varchar', 1000, None
'AuditLog', 'LogAction', None, 'YES', 'varchar', 30, None
'AuditLog', 'LogMsgStore', None, 'YES', 'varchar', 50, None
'AuditLog', 'LogForUser', None, 'YES', 'varchar', 128, None
'Auth_MDS1', 'TranId', None, 'NO', 'decimal', None, 19
'Auth_MDS1', 'CardholderBillingFeeAmount', None, 'YES', 'money', None, 19
'Auth_MDS1', 'NetworkInternationalID', None, 'YES', 'char', 3, None
'Auth_MDS1', 'ApprovalCodeLength', None, 'YES', 'char', 1, None
'Auth_MDS1', 'DbtCdtAmtIndTxnProcFee', None, 'YES', 'char', 1, None
'Auth_MDS1', 'TransactionProcessingFeeAmt', None, 'YES', 'money', None, 19
'Auth_MDS1', 'DbtCdtAmtIndSetProcFee', None, 'YES', 'char', 1, None
'Auth_MDS1', 'SettlementProcessingFeeAmt', None, 'YES', 'money', None, 19
'Auth_MDS1', 'PANExtended', None, 'YES', 'varchar', 28, None
'Auth_MDS1', 'MerchantCity', None, 'YES', 'varchar', 20, None
'Auth_MDS1', 'ATMStateProvCode', None, 'YES', 'char', 3, None
'Auth_MDS1', 'AbbrTEL', None, 'YES', 'char', 3, None
'Auth_MDS1', 'telephone', None, 'YES', 'varchar', 19, None
'Auth_MDS1', 'AbbrM', None, 'YES', 'char', 1, None
'Auth_MDS1', 'CallDuration', None, 'YES', 'char', 3, None
'Auth_MDS1', 'CallOriginCity', None, 'YES', 'varchar', 20, None
'Auth_MDS1', 'CallOriginStateCode', None, 'YES', 'char', 3, None
'Auth_MDS1', 'TCC', None, 'YES', 'char', 1, None
'Auth_MDS1', 'KeyClassIDTK', None, 'YES', 'char', 2, None
'Auth_MDS1', 'KeyIndexNumber', None, 'YES', 'char', 2, None
